date,open,high,low,close,score,patterns,score_rollsum
2003-08-29,0.61,0.62,0.6,0.61,0,,
2003-09-01,0.62,0.67,0.61,0.67,0,,
2003-09-02,0.69,0.74,0.68,0.7,-1,"shootingStarBearish,invertedHammer",-1.0
2003-09-03,0.7,0.71,0.69,0.7,-1,"doji,bearishReversal",-2.0
2003-09-04,0.7,0.72,0.69,0.69,0,,-2.0
2003-09-05,0.7,0.71,0.67,0.68,0,,-1.0
2003-09-08,0.67,0.69,0.67,0.68,0,,0.0
2003-09-09,0.68,0.69,0.66,0.67,0,,0.0
2003-09-10,0.67,0.71,0.67,0.7,1,bullishEngulfing,1.0
2003-09-11,0.7,0.71,0.69,0.7,0,doji,1.0
2003-09-12,0.7,0.7,0.68,0.7,0,"doji,hammer",1.0
2003-09-15,0.69,0.7,0.68,0.69,0,doji,0.0
2003-09-16,0.69,0.7,0.68,0.7,0,,0.0
2003-09-17,0.7,0.7,0.67,0.67,-1,bearishEngulfing,-1.0
2003-09-18,0.67,0.68,0.66,0.67,0,doji,-1.0
2003-09-19,0.67,0.68,0.65,0.66,0,,-1.0
2003-09-22,0.67,0.68,0.66,0.67,0,doji,0.0
2003-09-23,0.67,0.69,0.67,0.69,0,,0.0
2003-09-24,0.69,0.69,0.68,0.69,0,"doji,hammer",0.0
2003-09-25,0.68,0.68,0.67,0.67,0,,0.0
2003-09-26,0.68,0.74,0.67,0.72,0,,0.0
2003-09-29,0.71,0.72,0.7,0.7,-1,bearishHarami,-1.0
2003-09-30,0.71,0.71,0.65,0.69,0,,-1.0
2003-10-08,0.68,0.7,0.67,0.69,0,,-1.0
2003-10-09,0.69,0.7,0.68,0.69,0,doji,0.0
2003-10-10,0.68,0.73,0.67,0.71,0,,0.0
2003-10-13,0.72,0.74,0.71,0.71,0,,0.0
2003-10-14,0.71,0.72,0.7,0.72,0,,0.0
2003-10-15,0.71,0.75,0.71,0.73,0,,0.0
2003-10-16,0.73,0.75,0.73,0.74,0,,0.0
2003-10-17,0.74,0.74,0.72,0.72,-1,bearishEngulfing,-1.0
2003-10-20,0.72,0.73,0.71,0.73,1,bullishHarami,0.0
2003-10-21,0.73,0.74,0.72,0.74,0,,0.0
2003-10-22,0.74,0.81,0.74,0.78,0,,1.0
2003-10-23,0.78,0.79,0.77,0.78,-1,"doji,bearishReversal",-1.0
2003-10-24,0.78,0.8,0.75,0.76,0,,-1.0
2003-10-27,0.76,0.77,0.74,0.76,0,"doji,hammer",-1.0
2003-10-28,0.75,0.77,0.74,0.77,0,,0.0
2003-10-29,0.75,0.76,0.7,0.72,0,,0.0
2003-10-30,0.72,0.73,0.71,0.71,0,,0.0
2003-10-31,0.71,0.74,0.71,0.72,0,invertedHammer,0.0
2003-11-03,0.73,0.76,0.73,0.75,0,,0.0
2003-11-04,0.75,0.8,0.75,0.77,0,,0.0
2003-11-05,0.77,0.78,0.76,0.76,-1,bearishHarami,-1.0
2003-11-06,0.76,0.79,0.76,0.78,1,bullishEngulfing,0.0
2003-11-07,0.75,0.78,0.74,0.75,0,"doji,invertedHammer",0.0
2003-11-10,0.75,0.77,0.74,0.77,0,,1.0
2003-11-11,0.78,0.79,0.76,0.78,0,"doji,hammer",0.0
2003-11-12,0.78,0.78,0.74,0.74,0,,0.0
2003-11-13,0.74,0.75,0.74,0.75,1,bullishHarami,1.0
2003-11-14,0.75,0.77,0.75,0.75,0,"doji,invertedHammer",1.0
2003-11-17,0.75,0.77,0.75,0.76,0,,1.0
2003-11-18,0.75,0.76,0.71,0.72,0,,0.0
2003-11-19,0.72,0.74,0.71,0.73,1,bullishHarami,1.0
2003-11-20,0.73,0.76,0.72,0.75,0,,1.0
2003-11-21,0.76,0.76,0.73,0.73,-1,bearishEngulfing,0.0
2003-11-24,0.72,0.75,0.72,0.75,1,piercingLineBullish,0.0
2003-11-25,0.75,0.77,0.74,0.76,1,morningStar,1.0
2003-11-26,0.76,0.77,0.75,0.76,-1,"doji,bearishReversal",1.0
2003-11-27,0.76,0.77,0.74,0.74,0,,0.0
2003-11-28,0.74,0.75,0.74,0.75,1,bullishHarami,0.0
2003-12-01,0.74,0.77,0.74,0.77,0,,1.0
2003-12-02,0.77,0.82,0.77,0.8,0,,1.0
2003-12-03,0.8,0.81,0.78,0.8,-1,"doji,hammer,bearishReversal",-1.0
2003-12-04,0.8,0.88,0.8,0.86,0,,-1.0
2003-12-05,0.86,0.86,0.82,0.82,-1,bearishHarami,-2.0
2003-12-08,0.83,0.84,0.82,0.82,0,,-1.0
2003-12-09,0.83,0.85,0.83,0.84,0,,-1.0
2003-12-10,0.82,0.85,0.82,0.85,0,,0.0
2003-12-11,0.85,0.85,0.83,0.84,-1,bearishHarami,-1.0
2003-12-12,0.84,0.85,0.83,0.84,0,doji,-1.0
2003-12-15,0.83,0.84,0.82,0.82,0,,-1.0
2003-12-16,0.82,0.84,0.81,0.84,1,bullishEngulfing,1.0
2003-12-17,0.84,0.85,0.82,0.83,-1,bearishHarami,0.0
2003-12-18,0.83,0.86,0.83,0.86,1,bullishEngulfing,1.0
2003-12-19,0.86,0.88,0.84,0.86,0,doji,0.0
2003-12-22,0.86,0.91,0.86,0.89,0,,1.0
2003-12-23,0.89,0.89,0.87,0.88,-1,bearishHarami,-1.0
2003-12-24,0.88,0.91,0.88,0.89,0,invertedHammer,-1.0
2003-12-25,0.89,0.94,0.89,0.94,0,,-1.0
2003-12-26,0.93,0.97,0.93,0.94,0,invertedHammer,0.0
2003-12-29,0.93,0.95,0.92,0.93,-1,"doji,invertedHammer,bearishReversal",-1.0
2003-12-30,0.97,0.97,0.92,0.95,0,,-1.0
2003-12-31,0.95,0.98,0.94,0.94,0,invertedHammer,-1.0
2004-01-02,0.95,0.99,0.95,0.96,1,"morningStar,invertedHammer",1.0
2004-01-05,0.96,0.99,0.96,0.99,0,,1.0
2004-01-06,1.0,1.04,1.0,1.03,0,,1.0
2004-01-07,1.03,1.05,1.01,1.05,0,,0.0
2004-01-08,1.05,1.05,1.01,1.02,-1,bearishEngulfing,-1.0
2004-01-09,1.02,1.02,0.95,0.96,0,,-1.0
2004-01-12,0.95,0.98,0.94,0.96,0,,-1.0
2004-01-13,0.97,0.97,0.94,0.95,-1,bearishEngulfing,-1.0
2004-01-14,0.94,0.97,0.93,0.93,-1,"shootingStarBullish,invertedHammer",-2.0
2004-01-15,0.92,0.94,0.91,0.94,1,bullishEngulfing,-1.0
2004-01-16,0.92,0.93,0.91,0.93,0,,0.0
2004-01-29,0.92,0.94,0.92,0.94,0,,1.0
2004-01-30,0.94,0.94,0.86,0.87,-1,bearishEngulfing,-1.0
2004-02-02,0.89,0.89,0.84,0.87,0,,-1.0
2004-02-03,0.86,0.91,0.85,0.9,1,bullishEngulfing,0.0
2004-02-04,0.9,0.9,0.88,0.9,0,"doji,hammer",1.0
2004-02-05,0.9,0.91,0.87,0.88,0,,1.0
2004-02-06,0.88,0.9,0.87,0.89,1,bullishHarami,1.0
2004-02-09,0.89,0.93,0.89,0.92,0,,1.0
2004-02-10,0.93,0.94,0.91,0.91,0,,1.0
2004-02-11,0.91,0.91,0.87,0.88,0,,0.0
2004-02-12,0.88,0.9,0.87,0.89,1,bullishHarami,1.0
2004-02-13,0.88,0.89,0.86,0.87,0,,1.0
2004-02-16,0.88,0.9,0.87,0.89,0,,1.0
2004-02-17,0.89,0.91,0.88,0.91,0,,0.0
2004-02-18,0.92,0.96,0.92,0.94,0,,0.0
2004-02-19,0.94,0.95,0.92,0.93,-1,bearishHarami,-1.0
2004-02-20,0.93,0.93,0.91,0.91,0,,-1.0
2004-02-23,0.9,0.91,0.87,0.87,0,,-1.0
2004-02-24,0.86,0.86,0.83,0.85,0,,0.0
2004-02-25,0.85,0.87,0.83,0.83,0,,0.0
2004-02-26,0.83,0.85,0.82,0.85,0,,0.0
2004-02-27,0.85,0.86,0.84,0.86,0,,0.0
2004-03-01,0.86,0.87,0.86,0.86,-1,"doji,invertedHammer,bearishReversal",-1.0
2004-03-02,0.86,0.87,0.84,0.85,0,,-1.0
2004-03-03,0.85,0.87,0.84,0.85,0,"doji,invertedHammer",-1.0
2004-03-04,0.85,0.85,0.83,0.84,0,,0.0
2004-03-05,0.84,0.84,0.83,0.83,0,,0.0
2004-03-08,0.83,0.84,0.83,0.83,1,"doji,invertedHammer,bullishReversal",1.0
2004-03-09,0.83,0.85,0.83,0.84,0,,1.0
2004-03-10,0.84,0.87,0.84,0.86,0,,1.0
2004-03-11,0.86,0.87,0.85,0.86,-1,"doji,bearishReversal",-1.0
2004-03-12,0.86,0.86,0.85,0.85,0,,-1.0
2004-03-15,0.86,0.88,0.85,0.88,0,,-1.0
2004-03-16,0.88,0.89,0.87,0.87,-1,bearishHarami,-1.0
2004-03-17,0.87,0.87,0.85,0.86,0,,-1.0
2004-03-18,0.86,0.87,0.84,0.84,0,,-1.0
2004-03-19,0.84,0.85,0.84,0.85,1,bullishHarami,1.0
2004-03-22,0.86,0.87,0.84,0.87,0,hammer,1.0
2004-03-23,0.87,0.9,0.87,0.88,0,invertedHammer,1.0
2004-03-24,0.89,0.89,0.87,0.87,-1,bearishEngulfing,-1.0
2004-03-25,0.87,0.88,0.87,0.87,0,"doji,invertedHammer",-1.0
2004-03-26,0.87,0.89,0.86,0.88,0,,-1.0
2004-03-29,0.89,0.9,0.88,0.89,0,doji,0.0
2004-03-30,0.9,0.9,0.87,0.89,0,,0.0
2004-03-31,0.89,0.92,0.89,0.91,1,bullishEngulfing,1.0
2004-04-01,0.91,0.93,0.91,0.92,0,,1.0
2004-04-02,0.93,0.93,0.91,0.91,-1,bearishEngulfing,0.0
2004-04-05,0.91,0.94,0.91,0.92,1,"invertedHammer,bullishHarami",0.0
2004-04-06,0.92,0.93,0.9,0.91,0,,0.0
2004-04-07,0.91,0.92,0.89,0.9,0,,1.0
2004-04-08,0.9,0.91,0.89,0.89,0,,0.0
2004-04-09,0.89,0.9,0.86,0.87,0,,0.0
2004-04-12,0.86,0.87,0.85,0.86,1,"doji,bullishReversal",1.0
2004-04-13,0.86,0.86,0.85,0.85,0,,1.0
2004-04-14,0.85,0.85,0.83,0.83,0,,1.0
2004-04-15,0.83,0.84,0.82,0.82,0,,0.0
2004-04-16,0.82,0.83,0.77,0.81,0,hammer,0.0
2004-04-19,0.81,0.82,0.79,0.79,0,,0.0
2004-04-20,0.79,0.81,0.79,0.8,1,bullishHarami,1.0
2004-04-21,0.8,0.82,0.79,0.8,0,"doji,invertedHammer",1.0
2004-04-22,0.8,0.8,0.79,0.8,0,"doji,hammer",1.0
2004-04-23,0.79,0.81,0.79,0.79,0,"doji,invertedHammer",0.0
2004-04-26,0.79,0.8,0.77,0.77,0,,0.0
2004-04-27,0.77,0.77,0.75,0.75,0,,0.0
2004-04-28,0.75,0.76,0.73,0.75,1,"doji,hammer,bullishReversal",1.0
2004-04-30,0.74,0.75,0.71,0.73,0,,1.0
2004-05-10,0.73,0.74,0.69,0.69,0,,1.0
2004-05-11,0.69,0.71,0.69,0.7,1,bullishHarami,1.0
2004-05-12,0.7,0.72,0.69,0.72,0,,1.0
2004-05-13,0.72,0.73,0.71,0.72,-1,"doji,bearishReversal",0.0
2004-05-14,0.71,0.71,0.68,0.69,0,,-1.0
2004-05-17,0.68,0.68,0.66,0.67,0,,-1.0
2004-05-18,0.67,0.7,0.67,0.7,1,bullishEngulfing,1.0
2004-05-19,0.69,0.7,0.69,0.69,0,"doji,invertedHammer",1.0
2004-05-20,0.69,0.71,0.69,0.7,0,,1.0
2004-05-21,0.7,0.7,0.7,0.7,0,doji,0.0
2004-05-24,0.71,0.71,0.7,0.7,0,,0.0
2004-05-25,0.7,0.7,0.69,0.7,0,"doji,hammer",0.0
2004-05-26,0.7,0.71,0.7,0.71,0,,0.0
2004-05-27,0.71,0.72,0.7,0.71,0,doji,0.0
2004-05-28,0.71,0.74,0.71,0.73,0,,0.0
2004-05-31,0.74,0.74,0.72,0.73,0,,0.0
2004-06-01,0.73,0.74,0.73,0.74,0,,0.0
2004-06-02,0.74,0.74,0.73,0.74,0,"doji,hammer",0.0
2004-06-03,0.74,0.74,0.72,0.73,0,,0.0
2004-06-04,0.73,0.73,0.71,0.72,0,,0.0
2004-06-07,0.71,0.72,0.7,0.7,0,,0.0
2004-06-08,0.7,0.71,0.69,0.7,1,"doji,bullishReversal",1.0
2004-06-09,0.7,0.71,0.7,0.7,0,"doji,invertedHammer",1.0
2004-06-10,0.69,0.71,0.69,0.7,0,,1.0
2004-06-11,0.7,0.73,0.7,0.71,0,invertedHammer,0.0
2004-06-14,0.7,0.71,0.68,0.69,0,,0.0
2004-06-15,0.69,0.71,0.69,0.71,1,bullishEngulfing,1.0
2004-06-16,0.71,0.73,0.7,0.72,0,,1.0
2004-06-17,0.72,0.73,0.71,0.71,0,,1.0
2004-06-18,0.71,0.72,0.7,0.71,0,doji,0.0
2004-06-21,0.71,0.73,0.71,0.73,0,,0.0
2004-06-22,0.73,0.74,0.72,0.73,0,doji,0.0
2004-06-23,0.73,0.73,0.71,0.72,0,,0.0
2004-06-24,0.73,0.73,0.71,0.71,0,,0.0
2004-06-25,0.71,0.72,0.69,0.7,0,,0.0
2004-06-28,0.69,0.7,0.68,0.7,0,,0.0
2004-06-29,0.69,0.71,0.69,0.71,0,,0.0
2004-06-30,0.71,0.71,0.69,0.7,-1,bearishHarami,-1.0
2004-07-01,0.69,0.72,0.69,0.72,1,bullishEngulfing,0.0
2004-07-02,0.72,0.73,0.72,0.73,1,morningStar,1.0
2004-07-05,0.73,0.74,0.72,0.73,-1,"doji,bearishReversal",1.0
2004-07-06,0.74,0.74,0.73,0.73,0,,0.0
2004-07-07,0.72,0.73,0.72,0.72,-1,"doji,shootingStarBullish,invertedHammer",-2.0
2004-07-08,0.73,0.76,0.73,0.76,1,morningStar,0.0
2004-07-09,0.75,0.76,0.75,0.75,0,"doji,invertedHammer",0.0
2004-07-12,0.75,0.75,0.73,0.74,0,,1.0
2004-07-13,0.73,0.75,0.73,0.75,1,bullishEngulfing,1.0
2004-07-14,0.75,0.76,0.75,0.76,1,morningStar,2.0
2004-07-15,0.76,0.77,0.75,0.76,-1,"doji,bearishReversal",1.0
2004-07-16,0.76,0.79,0.76,0.77,0,invertedHammer,0.0
2004-07-19,0.77,0.79,0.77,0.79,0,,-1.0
2004-07-20,0.79,0.79,0.78,0.79,-1,"doji,hammer,bearishReversal",-1.0
2004-07-21,0.78,0.79,0.78,0.79,0,,-1.0
2004-07-22,0.78,0.79,0.76,0.76,0,,-1.0
2004-07-23,0.75,0.77,0.75,0.77,0,,0.0
2004-07-26,0.76,0.77,0.75,0.76,0,doji,0.0
2004-07-27,0.76,0.76,0.75,0.75,0,,0.0
2004-07-28,0.75,0.76,0.75,0.76,0,,0.0
2004-07-29,0.77,0.77,0.76,0.77,0,"doji,hammer",0.0
