date,open,close,low,high,volume,change,h1,h2,h3,dea,dif,macd,k,d,j,qsddS,qsddM,qsddL,wrS,wrM,wrL,label1
1990-12-19,96.05,99.98,95.79,99.98,0,0.040916189484643484,99.98,99.98,99.98,0.0,0.0,0.0,50.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,100.0,104.39
1990-12-20,104.3,104.39,99.98,104.39,0,0.04410882176435284,101.24,100.112,100.061,0.07,0.352,0.563,50.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,100.0,109.13
1990-12-21,109.07,109.13,103.73,109.13,0,0.04540664814637412,103.494,100.468,100.227,0.257,1.002,1.49,50.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,100.0,114.55
1990-12-24,113.57,114.55,109.13,114.55,0,0.04966553651608176,106.653,101.119,100.49,0.592,1.932,2.68,50.0,50.0,50.0,100.0,0.0,0.0,100.0,100.0,100.0,120.25
1990-12-25,120.09,120.25,114.55,120.25,0,0.049759930161501556,110.538,102.111,100.853,1.092,3.093,4.002,50.0,50.0,50.0,100.0,100.0,0.0,100.0,100.0,100.0,125.27
1990-12-26,125.27,125.27,120.25,125.27,0,0.04174636174636171,114.747,103.441,101.301,1.747,4.368,5.242,50.0,50.0,50.0,100.0,100.0,0.0,100.0,100.0,100.0,125.28
1990-12-27,125.27,125.28,125.27,125.28,0,7.982757244356283E-5,117.756,104.948,101.741,2.461,5.318,5.713,50.0,50.0,50.0,100.0,100.0,0.0,100.0,100.0,100.0,126.45
1990-12-28,126.39,126.45,125.28,126.45,108,0.009339080459770128,120.24,106.558,102.194,3.188,6.095,5.814,50.0,50.0,50.0,100.0,100.0,0.0,100.0,100.0,100.0,127.61
1990-12-31,126.56,127.61,126.48,127.61,0,0.00917358639778566,122.346,108.22,102.66,3.896,6.727,5.662,66.667,55.556,88.889,100.0,100.0,0.0,100.0,100.0,100.0,128.84
1991-01-02,127.61,128.84,127.61,128.84,91,0.009638743045215923,124.201,109.902,103.141,4.565,7.243,5.356,77.778,62.963,107.407,100.0,100.0,0.0,100.0,100.0,100.0,130.14
1991-01-03,128.84,130.14,128.84,130.14,141,0.010090034150884686,125.898,111.586,103.636,5.186,7.669,4.966,85.185,70.37,114.815,100.0,100.0,0.0,100.0,100.0,100.0,131.44
1991-01-04,131.27,131.44,130.14,131.44,0,0.00998924235438767,127.482,113.259,104.146,5.753,8.019,4.533,90.123,76.955,116.461,100.0,100.0,0.0,100.0,100.0,100.0,132.06
1991-01-07,131.99,132.06,131.45,132.06,217,0.004716981132075506,128.79,114.894,104.659,6.252,8.251,3.998,93.416,82.442,115.364,100.0,100.0,0.0,100.0,100.0,100.0,132.68
1991-01-08,132.62,132.68,132.06,132.68,0,0.004694835680751208,129.901,116.473,105.173,6.68,8.389,3.418,95.61,86.831,113.169,100.0,100.0,0.0,100.0,100.0,100.0,133.34
1991-01-09,133.3,133.34,132.68,133.34,5603,0.004974374434730152,130.884,117.99,105.69,7.034,8.453,2.838,97.074,90.245,110.73,100.0,100.0,0.0,100.0,100.0,100.0,133.97
1991-01-10,133.93,133.97,133.34,133.97,0,0.004724763761811875,131.766,119.44,106.208,7.319,8.458,2.278,98.049,92.847,108.454,100.0,100.0,0.0,100.0,100.0,100.0,134.6
1991-01-11,134.61,134.6,134.51,134.61,13327,0.004702545345972945,132.575,120.823,106.729,7.538,8.416,1.754,98.658,94.784,106.407,99.961,99.997,0.0,99.974,99.974,99.974,134.67
1991-01-14,134.11,134.67,134.11,135.19,0,5.20059435363991E-4,133.174,122.123,107.242,7.689,8.292,1.206,96.819,95.462,99.532,97.481,99.829,0.0,98.68,98.68,98.68,134.74
1991-01-15,134.21,134.74,134.19,134.74,1446,5.197891141309988E-4,133.621,123.333,107.747,7.773,8.106,0.667,95.517,95.48,95.59,96.988,99.521,99.869,98.858,98.858,98.858,134.24
1991-01-16,134.19,134.24,134.14,134.74,509,-0.0037108505269407748,133.798,124.435,108.233,7.784,7.828,0.089,90.741,93.901,84.421,90.423,99.077,99.742,97.302,97.589,97.589,134.25
1991-01-17,133.67,134.25,133.65,134.25,0,7.449344457680948E-5,133.927,125.434,108.71,7.731,7.522,-0.418,85.449,91.083,74.181,90.515,98.48,99.617,97.012,97.614,97.614,134.24
1991-01-18,133.7,134.24,133.67,134.25,3004,-7.448789571687825E-5,134.017,126.338,109.179,7.624,7.196,-0.857,80.182,87.45,65.648,89.093,98.049,99.49,96.355,97.589,97.589,134.24
1991-01-21,133.7,134.24,133.66,134.24,2051,0.0,134.08,127.153,109.638,7.471,6.858,-1.226,74.172,83.024,56.468,87.467,97.754,99.363,95.397,97.589,97.589,133.72
1991-01-22,133.72,133.72,133.66,134.24,0,-0.003873659117997692,133.977,127.871,110.08,7.272,6.474,-1.595,56.295,74.114,20.656,76.85,97.43,99.166,90.161,96.269,96.269,133.17
1991-01-23,133.17,133.17,133.14,133.72,1095,-0.00411307209093637,133.747,128.489,110.504,7.028,6.055,-1.946,38.018,62.082,-10.111,60.0,96.923,98.897,79.637,94.873,94.873,132.61
1991-01-24,132.61,132.61,132.57,133.17,0,-0.004205151310354989,133.422,129.009,110.91,6.745,5.614,-2.264,25.854,50.006,-22.45,31.016,96.063,98.552,73.966,93.452,93.452,132.05
1991-01-25,132.05,132.05,132.03,132.07,3447,-0.00422290928285953,133.03,129.432,111.297,6.428,5.159,-2.538,17.482,39.165,-25.883,0.633,94.851,98.132,63.949,92.03,92.03,131.46
1991-01-28,131.46,131.46,131.46,131.55,5107,-0.0044680045437334595,132.581,129.764,111.667,6.082,4.697,-2.77,11.655,29.995,-25.025,0.0,93.439,97.634,50.792,90.533,90.533,130.95
1991-01-29,130.95,130.95,130.95,130.97,0,-0.0038795070743954,132.115,130.011,112.021,5.714,4.241,-2.946,7.77,22.586,-21.863,0.0,92.018,97.068,33.228,89.239,89.239,130.44
1991-01-30,130.44,130.44,130.41,130.95,527,-0.0038946162657502175,131.637,130.182,112.359,5.33,3.794,-3.071,5.44,16.871,-17.421,0.628,90.625,96.433,5.941,87.944,87.944,129.97
1991-01-31,129.93,129.97,129.93,130.46,0,-0.003603189205765094,131.16,130.285,112.682,4.937,3.364,-3.146,3.936,12.559,-13.31,0.76,89.277,95.736,0.76,86.751,86.751,129.51
1991-02-01,129.5,129.51,129.45,129.97,345,-0.003539278294991213,130.689,130.328,112.991,4.539,2.951,-3.176,3.042,9.387,-9.649,1.134,87.998,94.977,1.045,85.584,85.584,129.05
1991-02-04,129.05,129.05,129.05,129.58,0,-0.0035518492780478696,130.221,130.316,113.286,4.143,2.558,-3.171,2.028,6.934,-7.784,0.0,86.777,94.157,0.0,84.416,84.416,128.58
1991-02-05,128.56,128.58,128.53,128.58,8562,-0.003641999225106539,129.752,130.257,113.566,3.751,2.183,-3.136,1.711,5.193,-5.253,0.874,85.584,93.274,0.751,83.223,83.223,129.14
1991-02-06,129.13,129.14,128.06,129.15,0,0.004355265204541716,129.577,130.185,113.852,3.383,1.909,-2.947,10.118,6.835,16.685,17.447,84.502,92.37,15.147,84.645,84.645,129.79
1991-02-07,129.74,129.79,129.14,129.79,2133,0.005033297196840683,129.638,130.128,114.145,3.051,1.725,-2.653,23.269,12.313,45.181,27.994,83.667,91.468,24.264,86.294,86.294,130.38
1991-02-08,130.36,130.38,129.79,130.39,1234,0.004545804761537896,129.85,130.099,114.442,2.762,1.608,-2.31,42.088,22.238,81.787,37.54,82.964,90.566,34.731,87.792,87.792,130.97
1991-02-11,130.92,130.97,130.39,130.97,9317,0.0045252339315846254,130.17,130.106,114.746,2.519,1.544,-1.949,61.392,35.289,113.597,51.413,82.146,89.55,43.563,89.289,89.289,131.35
1991-02-12,131.54,131.35,130.97,131.56,0,0.002901427807894903,130.507,130.148,115.05,2.317,1.508,-1.618,72.261,47.613,121.557,64.384,80.622,88.324,53.15,90.254,90.254,131.92
1991-02-13,131.93,131.92,131.35,131.93,1152,0.004339550818424006,130.911,130.229,115.36,2.155,1.507,-1.295,81.421,58.883,126.499,96.259,77.582,86.714,62.359,91.701,91.701,132.53
1991-02-14,132.53,132.53,132.3,132.53,3624,0.0046240145542754225,131.373,130.349,115.675,2.032,1.539,-0.986,87.614,68.46,125.923,100.0,74.56,85.429,72.33,93.249,93.249,133.13
1991-02-19,133.12,133.13,133.08,133.14,1748,0.004527276842978906,131.875,130.51,115.995,1.944,1.593,-0.701,91.677,76.199,122.634,99.803,73.111,84.311,82.039,94.772,94.772,133.67
1991-02-20,133.63,133.67,133.13,133.67,0,0.00405618568316677,132.388,130.707,116.32,1.887,1.661,-0.453,94.451,82.283,118.788,100.0,73.416,83.452,99.117,96.142,96.142,134.28
1991-02-21,134.24,134.28,133.67,134.28,3220,0.004563477220019554,132.929,130.941,116.649,1.859,1.744,-0.229,96.301,86.956,114.991,100.0,76.648,83.05,100.0,97.416,97.69,134.87
1991-02-22,134.85,134.87,134.28,134.87,0,0.004393803991659245,133.483,131.209,116.983,1.854,1.836,-0.036,97.534,90.482,111.638,100.0,81.967,83.158,100.0,98.983,99.188,134.4
1991-02-25,134.37,134.4,134.33,134.87,810,-0.0034848372506858373,133.745,131.476,117.303,1.853,1.85,-0.007,94.859,91.941,100.695,93.098,86.333,82.995,93.098,96.969,97.995,133.93
1991-02-26,133.9,133.93,133.9,134.44,1094,-0.003497023809523801,133.798,131.72,117.608,1.843,1.802,-0.082,88.538,90.807,84.002,86.197,88.202,82.563,86.197,93.895,96.802,133.47
1991-02-27,133.44,133.47,133.44,133.98,214,-0.003434630030613066,133.704,131.929,117.899,1.816,1.707,-0.217,79.101,86.905,63.494,79.442,87.079,81.859,79.442,88.487,95.635,133.01
1991-02-28,132.99,133.01,132.98,133.52,0,-0.003446467370944841,133.506,132.095,118.176,1.768,1.577,-0.382,61.943,78.584,28.661,67.539,82.398,80.885,72.687,78.024,94.467,132.53
1991-03-01,132.53,132.53,132.47,132.53,7124,-0.0036087512217125766,133.227,132.214,118.44,1.698,1.419,-0.559,42.129,66.432,-6.479,53.937,75.859,79.619,65.639,73.158,93.249,131.99
1991-03-04,132.09,131.99,131.98,132.09,2518,-0.004074549158680993,132.874,132.284,118.688,1.606,1.235,-0.741,28.201,53.689,-22.774,35.714,69.18,78.015,57.709,63.261,91.878,131.46
1991-03-05,131.42,131.46,131.41,131.99,982,-0.004015455716342155,132.47,132.303,118.923,1.491,1.035,-0.913,19.282,42.22,-26.593,12.564,62.535,76.2,49.927,50.792,90.533,130.94
1991-03-06,130.89,130.94,130.89,130.95,0,-0.003955575840559944,132.033,132.275,119.143,1.358,0.825,-1.066,13.274,32.571,-25.321,1.256,55.899,74.046,42.291,40.393,89.213,130.41
1991-03-07,130.41,130.41,130.41,130.94,568,-0.004047655414693762,131.569,132.2,119.35,1.208,0.609,-1.199,8.849,24.664,-22.78,0.0,48.984,71.503,22.164,32.959,87.868,129.89
1991-03-08,129.84,129.89,129.84,130.41,933,-0.003987424277279428,131.089,132.084,119.543,1.045,0.391,-1.307,6.262,18.53,-18.274,0.994,41.93,68.558,1.969,25.666,86.548,129.31
1991-03-11,129.3,129.31,129.3,129.89,0,-0.004465316806528479,130.581,131.925,119.723,0.87,0.17,-1.4,4.246,13.768,-14.8,0.18,34.453,65.232,0.18,17.532,85.076,128.77
1991-03-12,128.73,128.77,128.73,129.31,957,-0.004176011136029634,130.064,131.729,119.889,0.686,-0.049,-1.47,3.109,10.215,-11.104,0.651,26.523,61.594,0.651,9.958,83.706,126.15
1991-03-13,126.13,126.15,126.13,128.77,498,-0.020346353964432743,128.945,131.436,120.003,0.463,-0.428,-1.783,2.177,7.536,-8.541,0.229,18.255,57.695,0.229,0.221,77.056,125.63
1991-03-14,125.61,125.63,125.61,126.15,326,-0.0041220768925882695,127.998,131.074,120.107,0.218,-0.762,-1.961,1.554,5.542,-6.422,0.216,10.639,54.178,0.216,0.209,75.736,125.17
