代码,    名称,TTM市盈率,市净率,所属行业,总股本,流通股本
SZ000001,平安银行,10.72,1.11,银行,19405918000,19405753000
SZ000002,万  科Ａ,8.69,1.98,房地产开发,11302143000,9715170000
SZ000004,国农科技,,4.11,计算机应用,165052630,83920684
SZ000005,世纪星源,16.54,2.01,环保工程,1058536840,1057946240
SZ000006,深振业Ａ,8.02,0.979,房地产开发,1349995000,1348308000
SZ000007,全新好,,15.57,零售,346448040,308948040
SZ000008,神州高铁,26.46,1.29,非汽车交运,2780795300,2665297400
SZ000009,中国宝安,66.88,3.92,综合,2579214000,2543836900
SZ000010,*ST美丽,,6.8,建筑装饰,819854710,522093500
SZ000011,深物业A,8.87,1.5,房地产开发,595979090,526442570
SZ000012,南  玻Ａ,31.43,1.74,建筑材料,3108196200,1957552700
SZ000014,沙河股份,13.15,2.03,房地产开发,201705190,201705190
SZ000016,深康佳Ａ,64.72,3.35,视听器材,2407945400,1596574300
SZ000017,深中华A,,151.9,非汽车交运,551347950,302981010
SZ000019,深粮控股,19.52,1.54,贸易,1152535250,415920400
SZ000020,深华发Ａ,475.6,8.97,电子制造,283161230,181165390
SZ000021,深科技,87.06,4.87,计算机设备,1471259400,1469327100
SZ000023,深天地Ａ,23.81,3.48,建筑材料,138756240,138756240
SZ000025,特  力Ａ,73.01,7.54,交运设备服务,431058320,392778320
SZ000026,飞亚达,23.36,1.78,家用轻工,442968880,356692290
SZ000027,深圳能源,12.47,0.937,电力,3964491600,3964491600
SZ000028,国药一致,16.16,1.62,医药商业,428126980,367733630
SZ000029,深深房Ａ,19.5,3.11,房地产开发,1011660000,891660000
SZ000030,富奥股份,10.31,1.35,汽车零部件,1810552100,1759880900
SZ000031,大悦城,11.76,1.3,房地产开发,4286313300,1813723000
SZ000032,深桑达Ａ,69.12,5.4,通信设备,413219660,411283660
SZ000034,神州数码,24.9,4.03,计算机应用,654070430,485475940
SZ000035,中国天楹,32.08,1.38,环保工程,2523777300,2368304400
SZ000036,华联控股,6.69,1.18,房地产开发,1483934000,1475023300
SZ000037,深南电A,,3.42,电力,602762600,338894010
SZ000038,深大通,,1.98,传媒,522777420,231571140
