序,代码,名称,总股本,流通股本
1,600000,浦发银行,216亿,205亿
2,600001,邯郸钢铁,0,0
3,600002,齐鲁石化,0,0
4,600003,ST东北高,0,0
5,600004,白云机场,11.5亿,11.5亿
6,600005,武钢股份,101亿,101亿
7,600006,东风汽车,20.0亿,20.0亿
8,600007,中国国贸,10.1亿,10.1亿
9,600008,首创股份,48.2亿,48.2亿
10,600009,上海机场,19.3亿,10.9亿
11,600010,包钢股份,326亿,157亿
12,600011,华能国际,152亿,105亿
13,600012,皖通高速,16.6亿,11.7亿
14,600015,华夏银行,107亿,107亿
15,600016,民生银行,365亿,296亿
16,600017,日照港,30.8亿,30.8亿
17,600018,上港集团,232亿,228亿
18,600019,宝钢股份,165亿,164亿
19,600020,中原高速,22.5亿,22.5亿
20,600021,上海电力,21.4亿,21.4亿
21,600022,山东钢铁,84.2亿,82.2亿
22,600023,浙能电力,136亿,29.9亿
23,600026,中海发展,40.3亿,27.4亿
24,600027,华电国际,98.6亿,67.8亿
25,600028,中国石化,1211亿,956亿
26,600029,南方航空,98.2亿,70.2亿
27,600030,中信证券,121亿,98.1亿
28,600031,三一重工,76.1亿,75.9亿
29,600033,福建高速,27.4亿,27.4亿
30,600035,楚天高速,14.5亿,14.5亿
31,600036,招商银行,252亿,206亿
32,600037,歌华有线,13.9亿,11.7亿
33,600038,中直股份,5.89亿,3.93亿
34,600039,四川路桥,30.2亿,30.2亿
35,600048,保利地产,119亿,108亿
36,600050,中国联通,212亿,212亿
37,600051,宁波联合,3.11亿,3.06亿
38,600052,浙江广厦,8.72亿,8.72亿
39,600053,九鼎投资,4.34亿,4.34亿
40,600054,黄山旅游,7.47亿,2.17亿
41,600055,华润万东,3.86亿,3.46亿
42,600056,中国医药,10.1亿,10.1亿
43,600057,象屿股份,11.7亿,9.83亿
44,600058,五矿发展,10.7亿,10.7亿
45,600059,古越龙山,8.09亿,8.09亿
46,600060,海信电器,13.1亿,13.1亿
47,600061,国投安信,36.9亿,19.6亿
48,600062,华润双鹤,7.24亿,5.72亿
49,600063,皖维高新,16.5亿,15.2亿
50,600064,南京高科,7.72亿,7.72亿
51,600065,*ST联谊,0,0
52,600066,宇通客车,22.1亿,19.0亿
53,600067,冠城大通,14.9亿,14.9亿
54,600068,葛洲坝,46.0亿,41.5亿
55,600069,银鸽投资,12.5亿,8.25亿
56,600070,浙江富润,3.57亿,3.57亿
57,600071,凤凰光学,2.37亿,2.37亿
58,600072,钢构工程,4.78亿,4.78亿
59,600073,上海梅林,9.38亿,9.38亿
60,600074,保千里,24.4亿,8.96亿
61,600075,新疆天业,6.95亿,4.39亿
62,600076,康欣新材,10.3亿,3.66亿
63,600077,宋都股份,13.4亿,13.4亿
64,600078,澄星股份,6.63亿,6.63亿
65,600079,人福医药,12.9亿,10.6亿
66,600080,金花股份,3.05亿,3.05亿
67,600081,东风科技,3.14亿,3.14亿
68,600082,海泰发展,6.46亿,6.32亿
69,600083,博信股份,2.30亿,2.27亿
70,600084,中葡股份,11.2亿,9.98亿
71,600085,同仁堂,13.7亿,13.7亿
72,600086,东方金钰,13.5亿,10.6亿
73,600087,退市长油,0,0
74,600088,中视传媒,3.31亿,3.31亿
75,600089,特变电工,32.4亿,32.0亿
76,600090,同济堂,14.4亿,3.68亿
77,600091,ST明科,4.37亿,3.37亿
78,600092,S*ST精密,0,0
79,600093,禾嘉股份,11.2亿,3.22亿
80,600094,大名城,20.1亿,18.1亿
81,600095,哈高科,3.61亿,3.61亿
82,600096,云天化,13.2亿,11.2亿
83,600097,开创国际,2.03亿,2.03亿
84,600098,广州发展,27.3亿,27.3亿
85,600099,林海股份,2.19亿,2.19亿
86,600100,同方股份,29.6亿,22.0亿
87,600101,明星电力,3.24亿,3.24亿
88,600102,莱钢股份,0,0
89,600103,青山纸业,10.6亿,10.6亿
90,600104,上汽集团,110亿,110亿
91,600105,永鼎股份,9.45亿,7.62亿
