序,代码,名称,总股本,流通股本
1,000001,平安银行,172亿,146亿
2,000002,万 科Ａ,110亿,97.1亿
3,000003,PT金田A,----,----
4,000004,国农科技,8398万,8296万
5,000005,世纪星源,10.6亿,9.14亿
6,000006,深振业Ａ,13.5亿,13.5亿
7,000007,全新好,2.31亿,2.06亿
8,000008,神州高铁,27.6亿,14.9亿
9,000009,中国宝安,21.5亿,21.2亿
10,000010,美丽生态,8.20亿,4.08亿
11,000011,深物业A,5.96亿,1.76亿
12,000012,南 玻Ａ,20.8亿,13.0亿
13,000013,*ST石化A,----,----
14,000014,沙河股份,2.02亿,2.02亿
15,000015,PT中浩A,----,----
16,000016,深康佳Ａ,24.1亿,16.0亿
17,000017,深中华A,5.51亿,3.03亿
18,000018,神州长城,17.0亿,7.53亿
19,000019,深深宝Ａ,4.52亿,3.78亿
20,000020,深华发Ａ,2.83亿,1.81亿
21,000021,深科技,14.7亿,14.7亿
22,000022,深赤湾Ａ,6.45亿,4.65亿
23,000023,深天地Ａ,1.39亿,1.39亿
24,000024,招商地产,25.8亿,10.3亿
25,000025,特 力Ａ,2.97亿,1.94亿
26,000026,飞亚达Ａ,4.39亿,3.11亿
27,000027,深圳能源,39.6亿,39.6亿
28,000028,国药一致,3.63亿,2.33亿
29,000029,深深房Ａ,10.1亿,8.92亿
30,000030,富奥股份,12.9亿,12.5亿
31,000031,中粮地产,18.1亿,18.1亿
32,000032,深桑达Ａ,4.22亿,2.79亿
33,000033,*ST新都,4.30亿,4.30亿
34,000034,神州数码,6.54亿,3.58亿
35,000035,中国天楹,12.4亿,8.12亿
36,000036,华联控股,11.4亿,11.3亿
37,000037,*ST南电A,6.03亿,3.39亿
38,000038,深大通,3.27亿,3773万
39,000039,中集集团,29.8亿,12.6亿
40,000040,东旭蓝天,13.4亿,4.65亿
41,000042,中洲控股,6.65亿,4.85亿
42,000043,中航地产,6.67亿,6.67亿
43,000045,深纺织Ａ,5.07亿,4.57亿
44,000046,泛海控股,52.0亿,45.5亿
45,000047,ST中侨,----,----
46,000048,康达尔,3.91亿,3.82亿
47,000049,德赛电池,2.05亿,2.05亿
48,000050,深天马Ａ,14.0亿,9.43亿
49,000055,方大集团,7.89亿,4.20亿
50,000056,皇庭国际,11.5亿,2.86亿
51,000058,深 赛 格,7.85亿,5.38亿
52,000059,华锦股份,16.0亿,14.0亿
53,000060,中金岭南,22.1亿,22.1亿
54,000061,农 产 品,17.0亿,16.9亿
55,000062,深圳华强,7.21亿,6.67亿
56,000063,中兴通讯,41.6亿,33.9亿
57,000065,北方国际,4.12亿,4.01亿
58,000066,长城电脑,13.2亿,13.2亿
59,000068,华控赛格,10.1亿,8.97亿
60,000069,华侨城Ａ,82.1亿,61.2亿
61,000070,特发信息,3.13亿,2.71亿
62,000078,海王生物,26.5亿,18.4亿
63,000088,盐 田 港,19.4亿,19.4亿
64,000089,深圳机场,20.5亿,20.5亿
65,000090,天健集团,12.0亿,7.74亿
66,000096,广聚能源,5.28亿,5.11亿
67,000099,中信海直,6.06亿,6.06亿
68,000100,TCL 集团,122亿,90.0亿
69,000150,宜华健康,4.48亿,3.54亿
70,000151,中成股份,2.96亿,2.67亿
71,000153,丰原药业,3.12亿,3.12亿
72,000155,*ST川化,4.70亿,4.70亿
73,000156,华数传媒,14.3亿,9.94亿
74,000157,中联重科,76.6亿,62.7亿
75,000158,常山股份,12.7亿,7.66亿
76,000159,国际实业,4.81亿,4.81亿
77,000166,申万宏源,201亿,72.0亿
78,000301,东方市场,12.2亿,12.2亿
79,000333,美的集团,64.5亿,61.4亿
80,000338,潍柴动力,40.0亿,21.6亿
81,000400,许继电气,10.1亿,7.37亿
82,000401,冀东水泥,13.5亿,13.5亿
83,000402,金 融 街,29.9亿,29.9亿
84,000403,ST生化,2.73亿,1.88亿
85,000404,华意压缩,5.60亿,5.58亿
86,000405,ST鑫光,----,----
87,000406,石油大明,----,----
88,000407,胜利股份,8.80亿,6.66亿
89,000408,*ST金源,20.7亿,2.52亿
90,000409,山东地矿,4.73亿,3.58亿
91,000410,沈阳机床,7.65亿,7.40亿
92,000411,英特集团,2.07亿,2.07亿
93,000412,ST五环,----,----
94,000413,东旭光电,49.4亿,24.1亿
95,000415,渤海金控,61.8亿,31.2亿
96,000416,民生控股,5.32亿,5.32亿
97,000417,合肥百货,7.80亿,7.79亿
98,000418,小天鹅Ａ,6.32亿,4.39亿
